GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Operating System and Hardware Information,oshi.software.os.windows.nt,Pdh.PdhFmtCounterValue,15,0,0,0,2,0,2,0,2,0
Operating System and Hardware Information,oshi.software.os.windows.nt,OSNativeSystemInfo,57,0,4,0,19,0,6,0,4,0
Operating System and Hardware Information,oshi.software.os.windows.nt,Pdh,6,0,0,0,1,0,1,0,1,0
Operating System and Hardware Information,oshi.software.os.windows.nt,PowrProf.SystemBatteryState,55,0,0,0,3,0,2,0,2,0
Operating System and Hardware Information,oshi.software.os.windows.nt,CentralProcessor.new Thread() {...},14,0,0,0,4,0,2,0,2,0
Operating System and Hardware Information,oshi.software.os.windows.nt,WindowsFileSystem.new SwingWorker() {...},47,0,2,0,7,0,3,0,2,0
Operating System and Hardware Information,oshi.software.os.windows.nt,Pdh.ValueUnion,3,0,0,0,1,0,1,0,1,0
Operating System and Hardware Information,oshi.software.os.windows.nt,CentralProcessor,950,0,70,0,202,0,65,0,30,0
Operating System and Hardware Information,oshi.software.os.windows.nt,WindowsPowerSource,105,0,10,0,23,0,11,0,6,0
Operating System and Hardware Information,oshi.software.os.windows.nt,Kernel32,6,0,0,0,1,0,1,0,1,0
Operating System and Hardware Information,oshi.software.os.windows.nt,OSVersionInfoEx,471,0,132,0,95,0,77,0,11,0
Operating System and Hardware Information,oshi.software.os.windows.nt,PowrProf,6,0,0,0,1,0,1,0,1,0
Operating System and Hardware Information,oshi.software.os.windows.nt,GlobalMemory,52,0,6,0,15,0,7,0,4,0
Operating System and Hardware Information,oshi.software.os.windows.nt,WindowsFileSystem,31,0,0,0,10,0,2,0,2,0
Operating System and Hardware Information,oshi,SystemInfo.new Object() {...},3,23,0,0,0,1,0,1,0,1
Operating System and Hardware Information,oshi,SystemInfo,59,55,11,7,13,18,11,3,0,3
Operating System and Hardware Information,oshi,PlatformEnum,5,53,0,0,0,2,1,3,1,3
Operating System and Hardware Information,oshi.software.os.linux,Libc,6,0,0,0,1,0,1,0,1,0
Operating System and Hardware Information,oshi.software.os.linux,Libc.Sysinfo,67,0,0,0,4,0,2,0,2,0
Operating System and Hardware Information,oshi.software.os.linux,LinuxHardwareAbstractionLayer,202,0,30,0,56,0,21,0,6,0
Operating System and Hardware Information,oshi.software.os.linux,LinuxOperatingSystem,138,0,16,0,27,0,13,0,5,0
Operating System and Hardware Information,oshi.software.os.mac.local,SystemB,0,12,0,0,0,3,0,1,0,1
Operating System and Hardware Information,oshi.software.os.mac.local,OSVersionInfoEx,87,140,20,13,34,32,23,8,3,6
Operating System and Hardware Information,oshi.software.os.mac.local,CoreFoundation.CFStringRef,0,19,0,0,0,4,0,2,0,2
Operating System and Hardware Information,oshi.software.os.mac.local,GlobalMemory,36,90,3,5,6,19,3,5,0,4
Operating System and Hardware Information,oshi.software.os.mac.local,SystemB.VMStatistics,0,67,0,0,0,2,0,2,0,2
Operating System and Hardware Information,oshi.software.os.mac.local,CoreFoundation.CFDictionaryRef,0,3,0,0,0,1,0,1,0,1
Operating System and Hardware Information,oshi.software.os.mac.local,SystemB.HostCpuLoadInfo,0,15,0,0,0,3,0,2,0,2
Operating System and Hardware Information,oshi.software.os.mac.local,CentralProcessor,507,571,50,32,100,112,51,20,16,14
Operating System and Hardware Information,oshi.software.os.mac.local,CoreFoundation.CFTypeRef,0,3,0,0,0,1,0,1,0,1
Operating System and Hardware Information,oshi.software.os.mac.local,SystemB.VMStatistics64,103,0,0,0,2,0,2,0,2,0
Operating System and Hardware Information,oshi.software.os.mac.local,CoreFoundation,0,6,0,0,0,1,0,1,0,1
Operating System and Hardware Information,oshi.software.os.mac.local,CoreFoundation.CFArrayRef,0,3,0,0,0,1,0,1,0,1
Operating System and Hardware Information,oshi.software.os.mac.local,MacPowerSource,21,146,5,7,6,33,8,4,3,3
Operating System and Hardware Information,oshi.software.os.mac.local,MacFileSystem,8,104,5,11,5,18,6,5,1,2
Operating System and Hardware Information,oshi.software.os.mac.local,IOKit,0,18,0,0,0,5,0,1,0,1
Operating System and Hardware Information,oshi.software.os.mac.local,SystemB.HostLoadInfo,23,0,0,0,4,0,2,0,2,0
Operating System and Hardware Information,oshi.software.os,OSFileStore,3,48,0,0,1,19,1,9,1,9
Operating System and Hardware Information,oshi.software.os.linux.proc,GlobalMemory,177,0,22,0,42,0,16,0,5,0
Operating System and Hardware Information,oshi.software.os.linux.proc,OSVersionInfoEx,171,0,20,0,32,0,16,0,6,0
Operating System and Hardware Information,oshi.software.os.linux.proc,CentralProcessor,677,0,62,0,168,0,61,0,30,0
Operating System and Hardware Information,oshi.software.os.linux.proc,LinuxFileSystem,96,0,16,0,19,0,10,0,2,0
Operating System and Hardware Information,oshi.software.os.linux.proc,LinuxPowerSource,268,0,48,0,63,0,30,0,6,0
Operating System and Hardware Information,oshi.software.os.windows,WindowsOperatingSystem,52,0,2,0,14,0,6,0,5,0
Operating System and Hardware Information,oshi.software.os.windows,WindowsHardwareAbstractionLayer,102,0,6,0,22,0,8,0,5,0
Operating System and Hardware Information,oshi.util,ParseUtil,7,83,3,3,4,16,4,2,1,2
Operating System and Hardware Information,oshi.util,Util,42,0,2,0,14,0,5,0,4,0
Operating System and Hardware Information,oshi.util,ExecutingCommand,72,0,8,0,23,0,8,0,4,0
Operating System and Hardware Information,oshi.util,FormatUtil,231,312,25,41,26,36,20,19,2,4
Operating System and Hardware Information,oshi.util,FileUtil,3,15,0,0,1,3,1,2,1,2
Operating System and Hardware Information,oshi.software.os.mac,MacOperatingSystem,0,60,1,3,0,16,1,6,0,5
Operating System and Hardware Information,oshi.software.os.mac,MacHardwareAbstractionLayer,13,84,3,7,2,19,3,8,0,6
