GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oshi-core,oshi.jna.platform.windows,PowrProf.SystemBatteryState,17,0,0,0,6,0,2,0,2,0
oshi-core,oshi.jna.platform.windows,PowrProf,6,0,0,0,1,0,1,0,1,0
oshi-core,oshi.jna.platform.windows,PowrProf.ProcessorPowerInformation,9,0,0,0,5,0,2,0,2,0
oshi-core,oshi.util.platform.windows,PerfCounterQueryHandler.new Thread() {...},10,0,0,0,3,0,2,0,2,0
oshi-core,oshi.util.platform.windows,PerfCounterQuery,301,0,29,0,66,0,27,0,11,0
oshi-core,oshi.util.platform.windows,WmiQueryHandler,269,0,33,0,77,0,32,0,14,0
oshi-core,oshi.util.platform.windows,PerfDataUtil.PerfCounter,57,0,2,0,14,0,6,0,5,0
oshi-core,oshi.util.platform.windows,PerfCounterQuery.CounterDataSource,24,0,0,0,3,0,1,0,1,0
oshi-core,oshi.util.platform.windows,PerfCounterQueryHandler,321,0,42,0,79,0,33,0,12,0
oshi-core,oshi.util.platform.windows,PerfDataUtil,215,0,32,0,44,0,24,0,8,0
oshi-core,oshi.util.platform.windows,WmiUtil,564,0,36,0,64,0,30,0,12,0
oshi-core,oshi.util.platform.windows,PerfCounterWildcardQuery,428,0,46,0,88,0,37,0,13,0
oshi-core,oshi.hardware.platform.windows,WindowsComputerSystem.ComputerSystemProperty,24,0,0,0,2,0,1,0,1,0
oshi-core,oshi.hardware.platform.windows,WindowsComputerSystem,151,0,28,0,36,0,24,0,10,0
oshi-core,oshi.hardware.platform.windows,WindowsDisplay,117,0,8,0,25,0,7,0,3,0
oshi-core,oshi.hardware.platform.windows,WindowsFirmware,87,0,12,0,25,0,13,0,7,0
oshi-core,oshi.hardware.platform.windows,WindowsSensors.OhmHardwareProperty,14,0,0,0,2,0,1,0,1,0
