GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oshi-demo/oshi-core,oshi.driver.windows,LogicalProcessorInformation,416,0,48,0,69,0,33,0,8,0
oshi-demo/oshi-core,oshi.util.platform.windows,PerfCounterQuery,284,0,25,0,58,0,19,0,5,0
oshi-demo/oshi-core,oshi.util.platform.windows,PerfDataUtil.PerfCounter,54,0,2,0,14,0,6,0,5,0
oshi-demo/oshi-core,oshi.util.platform.windows,PerfCounterQueryHandler,178,0,24,0,49,0,20,0,8,0
oshi-demo/oshi-core,oshi.util.platform.windows,PerfDataUtil,207,0,32,0,43,0,24,0,8,0
oshi-demo/oshi-core,oshi.util.platform.windows,WmiQueryHandler,284,0,33,0,77,0,32,0,14,0
oshi-demo/oshi-core,oshi.util.platform.windows,WmiUtil,556,0,38,0,67,0,32,0,13,0
oshi-demo/oshi-core,oshi.util.platform.windows,PerfCounterWildcardQuery,371,0,37,0,72,0,25,0,5,0
oshi-demo/oshi-core,oshi.driver.unix.solaris,Who,97,0,16,0,17,0,10,0,2,0
oshi-demo/oshi-core,oshi.software.os,OSService,0,21,0,0,0,8,0,4,0,4
oshi-demo/oshi-core,oshi.software.os,OperatingSystem.ProcessSort,0,74,0,0,0,2,0,1,0,1
oshi-demo/oshi-core,oshi.software.os,OSService.State,0,34,0,0,0,2,0,1,0,1
oshi-demo/oshi-core,oshi.software.os,OSSession,24,73,6,2,1,16,4,7,0,7
oshi-demo/oshi-core,oshi.software.os,InternetProtocolStats.TcpStats,0,120,0,0,0,23,0,12,0,12
oshi-demo/oshi-core,oshi.software.os,OSProcess.State,0,84,0,0,0,9,0,1,0,1
oshi-demo/oshi-core,oshi.software.os,OperatingSystem.OSVersionInfo,1,62,3,3,0,15,3,5,0,5
oshi-demo/oshi-core,oshi.software.os,InternetProtocolStats.UdpStats,0,54,0,0,0,11,0,6,0,6
oshi-demo/oshi-core,oshi.hardware.common,AbstractVirtualMemory,50,0,0,0,11,0,2,0,2,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractUsbDevice,149,0,8,0,29,0,15,0,11,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractGraphicsCard,99,0,0,0,27,0,7,0,7,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractHWDiskStore,152,0,16,0,22,0,14,0,6,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractSoundCard,69,0,0,0,19,0,5,0,5,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractNetworkIF,506,0,28,0,87,0,32,0,18,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractPowerSource,525,0,19,0,114,0,38,0,26,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractFirmware,64,0,2,0,11,0,6,0,5,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractComputerSystem,55,0,0,0,10,0,4,0,4,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractDisplay,20,0,0,0,5,0,3,0,3,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractGlobalMemory,190,0,21,0,45,0,16,0,3,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractBaseboard,44,0,0,0,7,0,2,0,2,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractCentralProcessor,702,0,55,0,138,0,59,0,17,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractSensors,71,0,0,0,12,0,5,0,5,0
oshi-demo/oshi-core,oshi.hardware.common,AbstractHardwareAbstractionLayer,43,0,0,0,9,0,5,0,5,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsOperatingSystem,823,0,103,0,186,0,81,0,29,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsFileSystem,624,0,48,0,114,0,35,0,9,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsOSSystemInfo,65,0,4,0,21,0,7,0,5,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsOSThread,162,0,14,0,46,0,22,0,13,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsNetworkParams,202,0,22,0,47,0,20,0,9,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsOSProcess,577,0,54,0,139,0,60,0,33,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsOSFileStore,140,0,10,0,35,0,15,0,10,0
oshi-demo/oshi-core,oshi.software.os.windows,WindowsInternetProtocolStats,142,0,0,0,14,0,6,0,6,0
oshi-demo/oshi-core,oshi.util.platform.unix.solaris,KstatUtil,190,0,26,0,38,0,21,0,4,0
oshi-demo/oshi-core,oshi.util.platform.unix.solaris,KstatUtil.KstatChain,135,0,22,0,24,0,17,0,6,0
oshi-demo/oshi-core,oshi.software.os.mac,MacNetworkParams,143,0,18,0,37,0,15,0,6,0
oshi-demo/oshi-core,oshi.software.os.mac,MacOperatingSystem,559,0,62,0,99,0,54,0,23,0
oshi-demo/oshi-core,oshi.software.os.mac,MacOSFileStore,118,0,6,0,31,0,13,0,10,0
oshi-demo/oshi-core,oshi.software.os.mac,MacOSProcess,634,0,57,0,139,0,61,0,30,0
oshi-demo/oshi-core,oshi.software.os.mac,MacOSThread,46,0,0,0,16,0,8,0,8,0
oshi-demo/oshi-core,oshi.software.os.mac,MacInternetProtocolStats,293,0,2,0,50,0,10,0,9,0
oshi-demo/oshi-core,oshi.software.os.mac,MacFileSystem,473,0,58,0,99,0,37,0,8,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,MemoryInformation.PageSwapProperty,45,0,0,0,9,0,4,0,4,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessInformation,10,0,0,0,2,0,2,0,2,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessorInformation.InterruptsProperty,33,0,0,0,8,0,4,0,4,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,PagingFile.PagingPercentProperty,33,0,0,0,8,0,4,0,4,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessorInformation.ProcessorFrequencyProperty,37,0,0,0,7,0,3,0,3,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,SystemInformation,5,0,0,0,1,0,1,0,1,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ThreadInformation,5,0,0,0,1,0,1,0,1,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessorInformation,30,0,2,0,6,0,6,0,5,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,MemoryInformation,5,0,0,0,1,0,1,0,1,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,PhysicalDisk,5,0,0,0,1,0,1,0,1,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessorInformation.SystemTickCountProperty,45,0,0,0,9,0,4,0,4,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,PagingFile,5,0,0,0,1,0,1,0,1,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ThreadInformation.ThreadPerformanceProperty,125,0,0,0,15,0,3,0,3,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,SystemInformation.ContextSwitchProperty,33,0,0,0,8,0,4,0,4,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessInformation.HandleCountProperty,37,0,0,0,7,0,3,0,3,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessInformation.ProcessPerformanceProperty,114,0,0,0,14,0,3,0,3,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,PhysicalDisk.PhysicalDiskProperty,92,0,0,0,12,0,3,0,3,0
oshi-demo/oshi-core,oshi.driver.windows.perfmon,ProcessorInformation.ProcessorTickCountProperty,81,0,0,0,11,0,3,0,3,0
oshi-demo/oshi-core,oshi.jna.platform.unix.aix,Perfstat.perfstat_protocol_t.AnonymousStructTCP,3,0,0,0,1,0,1,0,1,0
oshi-demo/oshi-core,oshi.jna.platform.unix.aix,Perfstat.perfstat_protocol_t.AnonymousStructUDP,3,0,0,0,1,0,1,0,1,0
