GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oshi-demo,oshi.demo,Json,51,0,0,0,14,0,2,0,2,0
oshi-demo,oshi.demo,ComputerID,110,0,0,0,19,0,3,0,3,0
oshi-demo,oshi.demo,DetectVM,105,123,16,0,22,13,11,3,3,3
oshi-demo,oshi.jna.platform.windows,PowrProf.SystemBatteryState,17,0,0,0,6,0,2,0,2,0
oshi-demo,oshi.jna.platform.windows,PowrProf.BATTERY_MANUFACTURE_DATE,3,0,0,0,1,0,1,0,1,0
oshi-demo,oshi.jna.platform.windows,PowrProf.BATTERY_QUERY_INFORMATION,3,0,0,0,1,0,1,0,1,0
oshi-demo,oshi.jna.platform.windows,PowrProf.BATTERY_STATUS,3,0,0,0,1,0,1,0,1,0
oshi-demo,oshi.jna.platform.windows,PowrProf,6,0,0,0,1,0,1,0,1,0
oshi-demo,oshi.jna.platform.windows,PowrProf.BATTERY_QUERY_INFORMATION_LEVEL,94,0,0,0,3,0,1,0,1,0
oshi-demo,oshi.jna.platform.windows,PowrProf.BATTERY_WAIT_STATUS,3,0,0,0,1,0,1,0,1,0
oshi-demo,oshi.jna.platform.windows,PowrProf.ProcessorPowerInformation,9,0,0,0,5,0,2,0,2,0
oshi-demo,oshi.jna.platform.windows,Kernel32,7,0,0,0,1,0,1,0,1,0
oshi-demo,oshi.jna.platform.windows,PowrProf.BATTERY_INFORMATION,11,0,0,0,3,0,1,0,1,0
oshi-demo,oshi.util.platform.windows,PerfCounterQueryHandler.new Thread() {...},10,0,0,0,3,0,2,0,2,0
oshi-demo,oshi.util.platform.windows,PerfCounterQuery,301,0,29,0,66,0,27,0,11,0
oshi-demo,oshi.util.platform.windows,WmiQueryHandler,284,0,33,0,77,0,32,0,14,0
oshi-demo,oshi.util.platform.windows,PerfDataUtil.PerfCounter,54,0,2,0,14,0,6,0,5,0
oshi-demo,oshi.util.platform.windows,PerfCounterQuery.CounterDataSource,24,0,0,0,3,0,1,0,1,0
oshi-demo,oshi.util.platform.windows,PerfCounterQueryHandler,321,0,42,0,79,0,33,0,12,0
oshi-demo,oshi.util.platform.windows,PerfDataUtil,207,0,32,0,43,0,24,0,8,0
oshi-demo,oshi.util.platform.windows,WmiUtil,556,0,38,0,67,0,32,0,13,0
oshi-demo,oshi.util.platform.windows,PerfCounterWildcardQuery,439,0,47,0,90,0,38,0,13,0
oshi-demo,oshi.hardware.platform.windows,WindowsComputerSystem.ComputerSystemProperty,24,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsComputerSystem,141,0,12,0,32,0,16,0,10,0
oshi-demo,oshi.hardware.platform.windows,WindowsDisplay,123,0,8,0,26,0,7,0,3,0
oshi-demo,oshi.hardware.platform.windows,WindowsCentralProcessor.ProcessorFrequencyProperty,37,0,0,0,7,0,3,0,3,0
oshi-demo,oshi.hardware.platform.windows,WindowsFirmware.WmiStrings,43,0,10,0,7,0,6,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsFirmware,86,0,2,0,16,0,8,0,7,0
oshi-demo,oshi.hardware.platform.windows,WindowsSensors.OhmHardwareProperty,14,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsDisks.PartitionMaps,18,0,0,0,4,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsBaseboard.BaseboardProperty,44,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsDisks.DiskDriveProperty,64,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsDisks.DriveToPartitionProperty,24,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsVirtualMemory.PagingPercentProperty,33,0,0,0,8,0,4,0,4,0
oshi-demo,oshi.hardware.platform.windows,WindowsCentralProcessor,1264,0,116,0,211,0,80,0,21,0
oshi-demo,oshi.hardware.platform.windows,WindowsVirtualMemory,135,0,2,0,23,0,10,0,9,0
oshi-demo,oshi.hardware.platform.windows,WindowsDisks.DiskPartitionProperty,74,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsComputerSystem.ComputerSystemProductProperty,14,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsBaseboard.WmiStrings,35,0,8,0,6,0,5,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsBaseboard,75,0,2,0,14,0,7,0,6,0
oshi-demo,oshi.hardware.platform.windows,WindowsCentralProcessor.InterruptsProperty,33,0,0,0,8,0,4,0,4,0
oshi-demo,oshi.hardware.platform.windows,WindowsUsbDevice,542,0,42,0,114,0,30,0,9,0
oshi-demo,oshi.hardware.platform.windows,WindowsNetworks,127,0,6,0,33,0,6,0,3,0
oshi-demo,oshi.hardware.platform.windows,WindowsGlobalMemory,338,0,61,0,99,0,66,0,11,0
oshi-demo,oshi.hardware.platform.windows,WindowsGlobalMemory.PhysicalMemoryProperty,54,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsDisks.PhysicalDiskProperty,92,0,0,0,12,0,3,0,3,0
oshi-demo,oshi.hardware.platform.windows,WindowsUsbDevice.USBControllerProperty,14,0,0,0,2,0,1,0,1,0
oshi-demo,oshi.hardware.platform.windows,WindowsUsbDevice.DiskDriveProperty,24,0,0,0,2,0,1,0,1,0
