GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oshi-dist/oshi-core,oshi.jna.platform.windows,PowrProf.SystemBatteryState,7,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.jna.platform.windows,PowrProf,6,0,0,0,1,0,1,0,1,0
oshi-dist/oshi-core,oshi.jna.platform.windows,VersionHelpers,187,0,2,0,30,0,18,0,17,0
oshi-dist/oshi-core,oshi.jna.platform.windows,Kernel32,6,0,0,0,1,0,1,0,1,0
oshi-dist/oshi-core,oshi.util.platform.windows,WmiQueryHandler,255,0,29,0,74,0,30,0,14,0
oshi-dist/oshi-core,oshi.util.platform.windows,PerfDataUtil.PerfCounter,57,0,2,0,14,0,6,0,5,0
oshi-dist/oshi-core,oshi.util.platform.windows,PerfDataUtil,215,0,32,0,44,0,24,0,8,0
oshi-dist/oshi-core,oshi.util.platform.windows,PdhUtilXP,126,0,20,0,25,0,13,0,3,0
oshi-dist/oshi-core,oshi.util.platform.windows,WmiUtil,564,0,36,0,64,0,30,0,12,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsComputerSystem.ComputerSystemProperty,24,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsComputerSystem,118,0,12,0,29,0,9,0,3,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsDisplay,122,0,8,0,26,0,7,0,3,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsSoundCard.SoundCardKernel,44,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsFirmware,49,0,2,0,12,0,3,0,2,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsSensors.OhmHardwareProperty,14,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsDisks.PartitionMaps,21,0,0,0,4,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsBaseboard.BaseboardProperty,44,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsDisks.DiskDriveProperty,64,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsDisks.DriveToPartitionProperty,24,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsCentralProcessor,570,0,42,0,98,0,31,0,10,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsDisks.DiskPartitionProperty,74,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsComputerSystem.ComputerSystemProductProperty,14,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsBaseboard,43,0,2,0,11,0,3,0,2,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsCentralProcessor.InterruptsProperty,33,0,0,0,8,0,4,0,4,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsUsbDevice,580,0,46,0,124,0,32,0,9,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsNetworks,127,0,6,0,33,0,6,0,3,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsGlobalMemory,135,0,6,0,27,0,8,0,5,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsDisks.PhysicalDiskProperty,92,0,0,0,12,0,3,0,3,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsGlobalMemory.PageSwapProperty,45,0,0,0,9,0,4,0,4,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsUsbDevice.USBControllerProperty,14,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsUsbDevice.DiskDriveProperty,24,0,0,0,2,0,1,0,1,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsDisks,714,0,54,0,114,0,34,0,7,0
oshi-dist/oshi-core,oshi.hardware.platform.windows,WindowsCentralProcessor.SystemTickCountProperty,45,0,0,0,9,0,4,0,4,0
