GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oshi-json/oshi-core,oshi.jna.platform.windows,Cfgmgr32,7,0,0,0,1,0,1,0,1,0
oshi-json/oshi-core,oshi.jna.platform.windows,PowrProf.SystemBatteryState,55,0,0,0,3,0,2,0,2,0
oshi-json/oshi-core,oshi.jna.platform.windows,Kernel32,7,0,0,0,1,0,1,0,1,0
oshi-json/oshi-core,oshi.jna.platform.windows,IPHlpAPI.MIB_IFROW,115,0,0,0,5,0,2,0,2,0
oshi-json/oshi-core,oshi.jna.platform.windows,PowrProf,6,0,0,0,1,0,1,0,1,0
oshi-json/oshi-core,oshi.jna.platform.windows,Psapi,6,0,0,0,1,0,1,0,1,0
oshi-json/oshi-core,oshi.jna.platform.windows,IPHlpAPI,6,0,0,0,1,0,1,0,1,0
oshi-json/oshi-core,oshi.jna.platform.windows,Ole32,7,0,0,0,1,0,1,0,1,0
oshi-json/oshi-core,oshi.jna.platform.windows,Psapi.PERFORMANCE_INFORMATION,63,0,0,0,2,0,2,0,2,0
oshi-json/oshi-core,oshi.util.platform.windows,WmiUtil.ValueType,58,0,0,0,2,0,4,0,4,0
oshi-json/oshi-core,oshi.util.platform.windows,WmiUtil.new Object() {...},33,0,0,0,1,0,1,0,1,0
oshi-json/oshi-core,oshi.util.platform.windows,WmiUtil,811,0,89,0,144,0,60,0,14,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsDisplay,118,0,8,0,25,0,7,0,3,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsSensors,474,0,60,0,98,0,34,0,4,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsPowerSource,90,0,10,0,17,0,8,0,3,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsCentralProcessor,609,0,38,0,103,0,28,0,9,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsHardwareAbstractionLayer,53,0,6,0,15,0,12,0,9,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsUsbDevice,532,0,38,0,100,0,27,0,8,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsNetworks,57,0,2,0,14,0,4,0,3,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsGlobalMemory,118,0,6,0,20,0,7,0,4,0
oshi-json/oshi-core,oshi.hardware.platform.windows,WindowsDisks,221,0,4,0,26,0,6,0,4,0
oshi-json/oshi-core,oshi.software.os,OperatingSystem.ProcessSort,88,0,0,0,2,0,4,0,4,0
oshi-json/oshi-core,oshi.software.os,OSProcess.State,9,79,0,0,0,8,2,2,2,2
oshi-json/oshi-core,oshi.software.os,OSFileStore,0,83,0,0,0,34,0,17,0,17
oshi-json/oshi-core,oshi.hardware.common,AbstractUsbDevice,147,0,8,0,26,0,14,0,10,0
oshi-json/oshi-core,oshi.hardware.common,AbstractPowerSource,3,18,0,0,1,7,1,3,1,3
oshi-json/oshi-core,oshi.hardware.common,AbstractGlobalMemory,2,38,1,1,1,13,1,5,0,5
oshi-json/oshi-core,oshi.hardware.common,AbstractCentralProcessor,99,556,21,31,25,115,21,34,3,26
oshi-json/oshi-core,oshi.hardware.common,AbstractDisks,0,3,0,0,0,1,0,1,0,1
oshi-json/oshi-core,oshi.hardware.common,AbstractSensors,0,3,0,0,0,1,0,1,0,1
oshi-json/oshi-core,oshi.hardware.common,AbstractHardwareAbstractionLayer,0,3,0,0,0,1,0,1,0,1
oshi-json/oshi-core,oshi.hardware.common,AbstractNetworks,12,52,0,6,2,13,0,6,0,3
oshi-json/oshi-core,oshi.hardware.common,AbstractDisplay,4,13,0,0,1,4,1,2,1,2
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxGlobalMemory,233,0,50,0,49,0,36,0,4,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxPowerSource,255,0,50,0,56,0,28,0,3,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxSensors,286,0,26,0,48,0,18,0,5,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxDisplay,87,0,12,0,25,0,9,0,3,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxSensors.new FileFilter() {...},24,0,4,0,2,0,4,0,2,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxNetworks,74,0,0,0,12,0,2,0,2,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxUsbDevice,382,0,26,0,78,0,20,0,7,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxCentralProcessor,646,0,114,0,138,0,71,0,9,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxHardwareAbstractionLayer,53,0,6,0,15,0,12,0,9,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxDisks,191,0,16,0,40,0,12,0,4,0
oshi-json/oshi-core,oshi.hardware.platform.linux,LinuxBlockDevStats,92,0,0,0,16,0,1,0,1,0
oshi-json/oshi-core,oshi.software.os.windows,WindowsOSSystemInfo,61,0,4,0,19,0,6,0,4,0
oshi-json/oshi-core,oshi.software.os.windows,WindowsOperatingSystem,303,0,8,0,43,0,13,0,9,0
oshi-json/oshi-core,oshi.software.os.windows,WindowsProcess,70,0,7,0,28,0,7,0,1,0
oshi-json/oshi-core,oshi.software.os.windows,WindowsFileSystem,445,0,28,0,80,0,24,0,8,0
oshi-json/oshi-core,oshi.software.os.windows,WindowsOSVersionInfoEx,581,0,148,0,124,0,86,0,12,0
oshi-json/oshi-core,oshi.hardware.platform.mac,MacHardwareAbstractionLayer,3,50,3,3,1,14,4,8,1,8
oshi-json/oshi-core,oshi.hardware.platform.mac,MacSensors,0,142,4,12,0,32,4,8,0,4
oshi-json/oshi-core,oshi.hardware.platform.mac,MacDisplay,0,96,2,4,0,24,2,4,0,3
