GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oshi-json,oshi.json.software.os,OSFileStore,0,180,8,8,0,46,8,18,0,18
oshi-json,oshi.json.util,PropertiesUtil,53,110,12,12,3,24,10,9,1,6
oshi-json,oshi.json.util,JsonUtil,3,29,0,0,1,8,1,1,1,1
oshi-json,oshi.json,SystemInfo,0,90,3,7,0,21,3,7,0,5
oshi-json,oshi.json.hardware,NetworkIF.new Object() {...},5,35,0,0,0,1,0,1,0,1
oshi-json,oshi.json.hardware,NetworkIF,19,272,16,16,9,63,16,24,0,22
oshi-json,oshi.json.hardware,HWPartition,0,200,8,8,0,49,8,19,0,19
oshi-json,oshi.json.hardware,HWDiskStore,0,422,10,18,0,76,10,26,0,22
oshi-json,oshi.json.software.os.impl,OSProcessImpl,201,0,26,0,45,0,28,0,15,0
oshi-json,oshi.json.software.os.impl,OperatingSystemVersionImpl,79,0,6,0,22,0,12,0,9,0
oshi-json,oshi.json.software.os.impl,FileSystemImpl,139,0,10,0,24,0,10,0,5,0
oshi-json,oshi.json.software.os.impl,OperatingSystemImpl,217,0,20,0,42,0,22,0,12,0
oshi-json,oshi.json.hardware.impl,UsbDeviceImpl,159,0,18,0,33,0,18,0,9,0
oshi-json,oshi.json.hardware.impl,DisplayImpl,37,0,2,0,10,0,5,0,4,0
oshi-json,oshi.json.hardware.impl,HardwareAbstractionLayerImpl,576,0,44,0,87,0,32,0,10,0
oshi-json,oshi.json.hardware.impl,GlobalMemoryImpl,74,0,8,0,18,0,10,0,6,0
oshi-json,oshi.json.hardware.impl,PowerSourceImpl,60,0,6,0,15,0,8,0,5,0
oshi-json,oshi.json.hardware.impl,SensorsImpl,85,0,8,0,18,0,9,0,5,0
oshi-json,oshi.json.hardware.impl,CentralProcessorImpl,445,0,46,0,93,0,53,0,30,0
oshi-json,oshi.json.json,AbstractOshiJsonObject,3,41,0,0,1,9,1,6,1,6
oshi-json,oshi.json.json,NullAwareJsonObjectBuilder,6,151,1,13,1,40,1,20,0,14
